Title,Description,Products,Products_brands,Contact_url,Monthly_sells,Imports_to_LA,Rating
DOLPHIN WIRELESS ELECTRONICS LLC,"Dolphin Wireless Electronics es distribuidor mayorista de celulares y consumer electronics para Latinoamérica y El Caribe. 
  "," Celulares, accesorios y consumer electronics en general."," Xiaomi, Huawei, Motorola, Sony, Apple, Lg, Samsung, Cat. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=353,17535,True,3.97
"FTT, LLC","FTT LLC, es distribuidor Mayorista de Celulares para Latinoamérica y El Caribe. 

", Celulares.," Samsung, Apple, Nokia, Zte, Sony, Lg, BlackBerry, HTC, Motorola. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=238,16878,False,4.11
GAME CENTER DISTRIBUTION,"Game Center Distribution es distribuidor mayorista de videojuegos, Sistemas, accesorios Juegos, tarjetas, Ipads, iwatchs y mucho más para Latinoamérica y El Caribe 

"," Consolas, Juegos, Tarjetas, Accesorios, Ipads, iwatch."," Apple, Ps4, Nintendo, Sony, Xbox, Roku Google play, ITunes.
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=171,14144,False,3.43
GLOBAL ACCESS INC,"Global Access Inc es distribuidor mayorista de smartphones, celulares básicos, tablets, usb módems, mifi y routers para Latinoamérica y El Caribe. 

"," celulares, tablets, usb módems, mifi y routers."," Alcatel, Zte, Xiaomi, Huawei, Hisense, Tcl.
 ",https://compredesdemiami.com/catalog/celulares/detail.php?ID=351,37404,True,3.99
GOLD TRADE LLC,"Gold Trade LLC es distribuidor mayorista de smartphones, nuevos, categoría A++, A, B, C; accesorios, repuestos, laptops, speakers y mucho más. Equipos testeados, y con garantía a los mejores precios. 

"," Celulares, accesorios, repuestos, laptops, speakers."," Apple, Xiaomi, Samsung, Motorola.
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=383,14733,True,3.19
HOBBY TRADING CORP,"Hobby Trading Corp es distribuidor mayorista de Repuestos, partes (nuevos - originales y usados A+) para celulares, cables, cargadores, auriculares para Latinoamérica y El Caribe. 
"," Partes, Repuestos, pantallas, baterías para celulares, cables, cargadores, auriculares."," Samsung, Huawei, Apple. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=223,35342,False,4.4
HYUNDAI MOBILE,"Hyundai Mobile es una marca de celulares y smart watch’s para Latinoamérica y El Caribe. 

Marca: Hyundai Mobile. 
Productos: Celulares, smart watch’s.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=140,30024,True,2.95
LG - SKYWIRE COMMUNICATIONS,"Skywire Communications, es distribuidor mayorista oficial de la marca de celulares LG, para Latinoamérica.

", Celulares," Lg
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=334,23643,False,2.89
MARDING GSM LLC,"Mardin Gsm LLC, es distribuidor mayorista de smartphones Multimarcas para Latinoamérica y El Caribe. 

Marca: Xiaomi, Realme, Cat, Apple, Samsung, Huawei, Motorola, Nokia, Tecno, Oppo, One Plus, Honor, Sony, Alcatel, Zte, Lenovo, Lg. 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=386,41612,True,3.77
"MARVOL JPS INC,","Marvol Jps Inc, es distribuidor mayorista de repuestos y accesorios para celulares, para Latinoamérica y El Caribe. 
  Marca: Todas las marcas de accesorios y repuestos. 
Productos: Repuestos (todas las marcas/modelos) y Accesorios.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=118,13635,True,3.43
MIAMI CELLULAR SHOP,"Miami Cellular Shop, es distribuidor mayorista de celulares para Latinoamérica y El Caribe. Ponemos a su disposición una amplia gama de marcas de Celulares que vienen directo de fábrica, con idioma español y desbloqueados para que lo puedan usar en su país sin ningún problema "" SIM Libre”. 

Miami. Marca: Xiaomi, Samsung, Huawei, Lg, Motorola, Cat. 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=349,15712,True,4.42
MIAMI DIGICOM,"Miami Digicom, es distribuidor mayorista de celulares de marcas emergentes y marcas reconocidas para Latinoamérica y El Caribe. 

Marca: Cell Star, Riu, Xiaomi, Samsung, Apple.  
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=236,12162,True,4.2
MIAMI GLOBAL BUSINESS,"Distribuidor al por mayor de teléfonos celulares y accesorios para Latinoamérica y El Caribe. Contamos con más de 17 años de experiencia, conocimiento de la industria, y bajos precios nos convertimos en su opción más viable. 

"," Celulares, Accesorios. 
"," Samsung, Apple, Xiaomi, Motorola, entre otros.",https://compredesdemiami.com/catalog/celulares/detail.php?ID=409,43860,False,4.92
MICROBOL CORP,"Microbol Corp, es distribuidor mayorista de celulares, exportadores al mayor de las marcas más reconocidas del mercado para Latinoamérica y El Caribe. Así mismo, contamos con celulares Apple y Samsung Grado A+, A, B, C. Contamos con buen servicio, rapidez, honestidad, y precios justos, es lo que más nos caracteriza con nuestros clientes. 

", Celulares y accesorios.," Apple, Samsung, Xiaomi, Huawei, Realme, Lg, Motorola, Alcatel, Zte. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=375,43288,False,3.4
MOBILE PROSS,"Mobile Pros LLC, es distribuidor mayorista de celulares nuevos, cpo, y grado A/B para Latinoamérica y El Caribe. Así mismo, los celulares de Grado A/B, cuentan con garantía de 45 días y probados por Phonecheck.  

", Celulares.," Apple, Samsung, Lg, Motorola, Zte. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=376,28849,False,3.67
"MOTOROLA -VA CELL, INC","Va Cell, es distribuidor mayorista autorizado de la marca de celulares Motorola para Latinoamérica. 

", Celulares.," Motorola. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=367,36824,False,4.3
MT CONNECTIONS INC ,"Mt Connections, es distribuidor mayorista de celulares por más 20 años para el mercado de Latinoamérica y El Caribe. 

", Celulares.," Apple, Samsung, Xiaomi, Honor, Zte, Huawei, Motorola, Cat, Sony, Logic, Realme, One Plus. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=40,18249,False,3.08
NASA ELECTRONICS CORPORATION,"Nasa Electronics, es distribuidor mayorista de productos de Consumer Electronics para Latinoamérica y El Caribe. Así mismo es Authorized Reseller de Apple y distribuidor autorizado de la marca JBL.  

"," Celulares, consolas de video juegos, laptops, tablets, accesorios, speakers, línea (google y Jbl) y la línea completa de Apple."," Apple, Jbl, Xiaomi, Playstation, Xbox, Google, Microsoft, Logitech, Hp, Dell, Seagate, Western Digital. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=206,35679,False,4.74
NET WIRELESS INC,"Distribuidor Mayorista Global de Consumer Electronics, contamos con las mejores marcas del mercado a los precios desde el 2003. 

"," Celulares, Tablets, PC’s, Laptops, Consolas, Accesorios y más. 
"," Realme, Xiaomi, Samsung, Motorola, Alcatel, Sony, Apple, Cat, JBL, Roku, Amazon, Google Bose, Go Pro, Jabra, Planetronics, Hp, Lenovo, Xbox, Nintendo, Playstation.",https://compredesdemiami.com/catalog/celulares/detail.php?ID=408,26932,True,4.23
"PAN OCEAN INTERNATIONAL, INC","Pan Ocean International Inc, es distribuidor mayorista de productos de Consumer Electronics para Latinoamérica y El Caribe.  

"," Celulares, smart watch, ipads, tabletas, laptops, consolas de video juegos, cámaras, speakers, headphones."," Iphone, Samsung, Xiaomi, Nokia, Motorola, Lg, Htc, Sony, Realme, Huawei, Lenovo, Hp, Asus, Acer, Blackberry, Alcatel, Zte, Cat, Google, Amazon, Canon, Nikon, Go Pro, Nintendo, Panasonic, Bose, Wahl, Yamaha, Nest, Fitbit, Jbl, Beats, Kindle, Karcher. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=259,37535,False,4.13
REALME - SKYWIRE COMMUNICATIONS,"Skywire Communications, es distribuidor mayorista autorizado de la marca de celulares Realme para Latinoamérica. 

Marca: Realme. 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=387,32065,True,4.75
RELIANCE TRADING,"Distribuidor Mayorista de Laptops, de toda la Línea Apple: IPhone Nuevos, CPO, OEM, Consolas y Consumer Electronics en general para toda Latinoamérica y El Caribe. 

"," Consolas, Celulares, Accesorios, Consumer Electronics"," Dell, Asus, Lenovo, Hp, Acer, Apple, Ps4, Nintendo, Xbox, Google
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=310,36059,True,3.35
"SAMSUNG - VA – CELL, INC","Va Cell, es distribuidor mayorista autorizado de la marcas Samsung, Honor, Xiaomi, Motorola, Sony, Nokia Nikon para Latinoamérica. 

"," Celulares, relojes, auriculares bluetooth, accesorios."," Samsung. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=49,14742,True,4.15
SB TECHNOLOGY - XIAOMI,"SB Technology es distribuidor mayorista de Consumer Electronics para Latinoamérica, El Caribe. Así, mismo es distribuidor de la marca Xiaomi en la línea de Celulares y Ecosystem. 

", Celulares y productos Ecosystems.," Xiaomi 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=390,18979,False,2.97
SKYWIRE COMMUNICATIONS,"Skywire Communications, es distribuidor mayorista autorizado de celulares de marcas reconocidas en el mercado para Latinoamérica. 

Marca: LG, Huawei, Samsung, Vivo IPhone, Realme 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=256,28743,True,4.98
"SOLARIS WIRELESS, INC","Mayoristas de telefonía celular, especializados en equipos originales, nuevos y desbloqueados. Ofrecemos abastecimiento al por mayor a distribuidores, exportadores, importadores y minorista en el mercado local (USA) y latinoamericano.


", Celulares | ," Xiaomi, Apple, Samsung, Motorola, One Plus, Infinix",https://compredesdemiami.com/catalog/celulares/detail.php?ID=410,10212,False,4.12
STAR TECH TOOLS LLC,"Star Tech Tool LLC, es distribuidor mayorista de teléfonos celulares, tablets, accesorios y equipos inteligentes para Latinoamérica y El Caribe. 

"," Celulares, tablets, accesorios, equipos inteligentes."," Motorola, Samsung, Xiaomi, Lg, Huawei, Apple. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=402,37926,True,2.91
"SUNSTRIKE INTERNATIONAL USA, INC.","Sunstrike International Usa Inc, es distribuidor mayorista para Usa, Latinoamérica y El Caribe de toda la línea Apple. Somos Apple Authorized Reseller contamos con stock permanente de Iphones y Ipad’s OEM y CPO. Contamos también con sede en Hong Kong – Sunstrike International Limited. 

"," Iphones, Ipad’s, Airpods, Apple Watch, Apple TV, Ipoud Touch, MacBooks."," Apple. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=370,23659,True,3.76
TECH TOWN,"Distribuidor Mayorista de Consolas de Video Juegos, Accesorios y más. 

"," Consolas, Accesorios 
"," PlayStation, Xbox, Nintendo.",https://compredesdemiami.com/catalog/celulares/detail.php?ID=381,37318,False,4.53
TECHSAURUS,"Techsaurus, somos distribuidores mayoristas de tecnología, más confiables de América, contamos con más de 12 años de experiencia en la industria, trabajando con las marcas más reconocidas del mercado.  

"," Celulares, Consolas, Accesorios, Speakers, Headphones, Camaras y Consumer Electronics en General."," Samsung, Nokia, Huawei, Motorola, Sony, Microsoft, Nintendo, SanDisk, Virzo, Lg, Apple, Jbl, Alcatel Xbox, Playstation, Xiaomi, Go Pro, Cat. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=255,30320,True,5.0
"TEKMICOM, INC.","Tekmicom, es distribuidor mayorista de celulares, tablets y accesorios para Latinoamérica y El Caribe. 

Marca: Xiaomi, Motorola, Samsung, Alcatel, Logic. 
Productos: Celulares, tablets y accesorios.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=302,37319,False,3.54
TMCELL,"TMCELL, es distribuidor mayorista exclusivo de las marca Logic, Unonu, Iswag. También distribuidores autorizados de las marcas: Motorola, Alcatel, Adata, Coolpad, Cyrus, Kingston, Mophie, My Kronoz, Samsung, Xiaomi y Zte para Latinoamérica. 
"," Celulares, Tabletas, Accesorios, MiFis, Routers, Memorias, Modems y Dispositivos Inteligentes."," Logic, Unonu, Iswag, Alcatel, Motorola, Adata, Coolpad, Cyrus, Kingston, Mophie, Samsung, Xiaomi, Zte, My Kronoz. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=303,15182,True,3.04
"VA – CELL, INC","Va Cell, es distribuidor mayorista autorizado de la marcas Samsung, Honor, Xiaomi, Motorola, Sony, Nokia Nikon para Latinoamérica. 

"," Celulares, relojes, auriculares bluetooth, accesorios."," Samsung. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=411,30423,True,4.39
VEGA TECH SOLUTION – VETESO,"Vega Tech Solution (Veteso), es distribuidor mayorista de celulares, consolas, laptops, accesorios, dispositivos inteligentes y consumer electronics en general para Latinoamérica y El Caribe. Contamos con Iphones HSO.  

"," Celulares, consolas, laptops, accesorios, dispositivos inteligentes y consumer electronics en general."," Apple, Samsung, Xiaomi, Huawei, Honor, Nintendo, Xbox, Playstation, Hp, Dell, Lenovo. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=315,28291,False,3.96
VGCELL WIRELESS LLC,"VG Cell Wireless LLC, es distribuidor mayorista de celulares y accesorios para Latinoamérica y El Caribe. 

Marca: Apple, Xiaomi, Unonu, Vivo, Realme, Huawei, Samsung y Motorola. 
Productos: Celulares y accesorios.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=389,18326,True,4.86
VITEL MOBILE INC,"Vitel Mobile Inc, es distribuidor mayorista autorizado de la marca de celulares Samsung para Latinoamérica. 

Marca: Samsung. 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=73,35989,True,3.4
VIVA GLOBAL,"Distribuidor mayorista con más de 30 años en el mercado de Celulares, Partes, Celulares, Tablets, consolas, laptops Accesorios para toda Latino América y El Caribe. 

"," Partes, Repuestos, Accesorios, Speakers, Audífonos, Cables, Cubos, y más. 
"," Xiaomi, Apple, Samsung, Huawei, LG, Sony, JBL, Beats, Google, Roku, Nintendo, Playstation, Xbox entre otras marcas y más.",https://compredesdemiami.com/catalog/celulares/detail.php?ID=406,25528,False,3.98
WIRELESS NEXT INC,"Wireless Next Inc, es distribuidor mayorista oficial de la marcas de celulares y accesorios: Huawei, Alcatel, BlackBerry, Anker, Samsung, Zte, Cat, Dji, Realme, Tecno para Latinoamérica. Contamos con oficinas también en: Colombia, Ecuador y Panamá. 

Marca: Huawei, Alcatel, BlackBerry, Anker, Samsung, Zte, Cat, Dji, Realme, Tecno. 
Productos: Celulares, relojes, accesorios.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=341,12103,False,4.12
WIRELESS WORLD,"Distribuidor Mayorista de la línea Apple, Consolas & Juegos, Consumer Electronics en general. 

"," Iphones, IPads, Apple Watch, AirPods, MacBooks, Apple TV, Accesorios, Consolas, juegos, línea Google, Linea Amazon, Roku, Laptops, Camaras, Jbl, Beats, Bose, Microsoft, Dyson, MSI, Nest, Dji, Honeywell, Garmln, Fitbit, i Robot, iTunes y Google play. , entre otros productos más. 
"," Apple, Ademas, Playstation, Xbox,Nintendo , Sega, Google, Amazon Roku,Samsung, DELL, HP, Lenovo, Alienware, Gopro, Sony Canon, Nikon",https://compredesdemiami.com/catalog/celulares/detail.php?ID=416,12366,False,3.19
"XIAOMI - VA CELL, INC","Va Cell, es distribuidor mayorista autorizado de la marca de celulares Xiaomi para Latinoamérica. 

", Celulares y accesorios.," Xiaomi. 
",https://compredesdemiami.com/catalog/celulares/detail.php?ID=366,19852,True,2.75
XIAOMI | MARDING GSM LLC,"Mardin Gsm LLC, es distribuidor mayorista de smartphones Xiaomi, para Latinoamérica y El Caribe. 

Marca: Xiaomi. 
Productos: Celulares.",,,https://compredesdemiami.com/catalog/celulares/detail.php?ID=414,13425,True,4.94
